Injection,ImageIndex,Top_1,Top_2,Top_3,Top_4,Top_5,Golden,Bit,NoChange
0,83,7,3,4,0,9,7,0,False
0,84,0,1,4,8,9,0,0,False
0,85,3,6,2,5,1,3,0,False
0,86,4,7,5,2,3,4,0,False
0,87,0,2,8,6,4,0,0,False
0,88,0,2,6,9,1,0,0,False
0,89,4,7,5,3,2,4,0,False
0,90,5,4,7,3,8,5,0,False
0,91,1,9,7,8,3,1,0,False
0,92,1,9,3,7,2,1,0,False
0,93,4,6,2,3,5,4,0,False
0,94,2,6,3,4,5,2,0,False
0,95,1,9,8,0,6,1,0,False
0,96,4,0,7,1,9,4,0,False
0,97,3,6,2,7,0,2,0,False
0,98,1,9,7,3,4,1,0,False
0,99,3,5,0,1,9,5,0,False
1,0,3,5,1,6,2,3,1,False
1,1,8,1,0,9,3,8,1,False
1,2,8,1,9,0,2,8,1,False
1,3,0,8,9,3,1,0,1,False
1,4,6,2,3,4,1,6,1,False
1,5,6,3,5,4,2,6,1,False
1,6,1,9,3,0,5,1,1,False
1,7,6,2,5,0,9,6,1,False
1,8,3,5,4,7,6,3,1,False
1,9,1,9,8,3,6,1,1,False
1,10,0,3,4,5,2,0,1,False
1,11,9,1,7,8,0,9,1,False
1,12,4,5,6,7,3,5,1,False
1,13,7,3,5,2,4,7,1,False
1,14,9,1,7,8,3,9,1,False
1,15,8,1,6,5,0,8,1,False
1,16,5,7,3,6,4,5,1,False
1,17,7,9,4,1,2,7,1,False
1,18,8,9,1,0,6,8,1,False
1,19,6,2,9,8,1,6,1,False
1,20,7,5,0,9,3,7,1,False
1,21,0,2,3,9,6,0,1,False
1,22,4,6,3,2,8,4,1,False
1,23,9,1,3,0,7,9,1,False
1,24,5,3,4,7,9,5,1,False
1,25,2,3,5,0,4,2,1,False
1,26,4,3,5,7,6,4,1,False
1,27,0,6,2,9,7,0,1,False
1,28,9,1,0,8,6,9,1,False
1,29,6,4,2,7,5,6,1,False
1,30,6,5,1,3,4,6,1,False
1,31,5,3,6,4,2,5,1,False
1,32,4,8,2,9,6,4,1,False
1,33,5,6,4,3,2,5,1,False
1,34,9,0,1,8,7,9,1,False
1,35,3,2,1,8,9,2,1,False
1,36,4,7,5,3,6,4,1,False
1,37,1,9,0,8,3,1,1,False
1,38,9,1,8,6,3,9,1,False
1,39,5,4,2,6,3,5,1,False
1,40,4,2,7,0,9,4,1,False
1,41,6,3,5,1,2,6,1,False
1,42,5,3,7,2,1,5,1,False
1,43,6,2,5,3,8,6,1,False
1,44,0,1,7,9,2,0,1,False
1,45,9,1,0,3,7,9,1,False
1,46,3,6,5,4,2,3,1,False
1,47,9,8,1,0,3,9,1,False
1,48,7,5,4,1,3,7,1,False
1,49,6,0,7,4,5,6,1,False
1,50,9,1,0,3,8,9,1,False
1,51,8,4,6,9,7,8,1,False
1,52,2,7,3,0,1,0,1,False
1,53,3,5,6,4,2,3,1,False
1,54,8,0,1,9,4,8,1,False
1,55,8,9,2,0,5,8,1,False
1,56,7,5,3,2,4,7,1,False
1,57,7,3,5,6,9,7,1,False
1,58,5,7,4,2,3,4,1,False
1,59,3,5,6,1,0,6,1,False
1,60,7,5,3,4,1,7,1,False
1,61,5,3,6,7,4,3,1,False
1,62,3,1,9,2,5,3,1,False
1,63,2,6,4,9,7,2,1,False
1,64,1,8,9,0,6,1,1,False
1,65,2,0,1,6,9,2,1,False
1,66,3,7,1,8,9,3,1,False
1,67,7,4,2,5,9,7,1,False
1,68,2,5,4,3,7,2,1,False
1,69,8,0,4,9,1,8,1,False
1,70,8,0,1,7,9,8,1,False
1,71,0,9,1,7,8,0,1,False
1,72,2,6,0,9,4,2,1,False
1,73,9,0,2,7,1,9,1,False
1,74,3,5,1,0,7,3,1,False
1,75,3,5,7,6,4,3,1,False
1,76,8,0,4,7,9,8,1,False
1,77,1,9,0,6,3,1,1,False
1,78,1,9,5,4,8,1,1,False
1,79,7,5,4,2,8,7,1,False
1,80,2,3,6,4,7,2,1,False
1,81,5,7,9,3,2,5,1,False
1,82,2,3,7,5,9,2,1,False
1,83,7,3,4,0,9,7,1,False
1,84,0,1,4,8,9,0,1,False
1,85,3,6,2,5,1,3,1,False
1,86,4,7,5,2,3,4,1,False
1,87,0,2,8,6,4,0,1,False
1,88,0,2,6,9,1,0,1,False
1,89,4,7,5,3,2,4,1,False
1,90,5,4,7,3,8,5,1,False
1,91,1,9,7,8,3,1,1,False
1,92,1,9,3,7,2,1,1,False
1,93,4,6,2,3,5,4,1,False
1,94,2,6,3,4,5,2,1,False
1,95,1,9,8,0,6,1,1,False
1,96,4,0,7,1,9,4,1,False
1,97,3,6,2,7,0,2,1,False
1,98,1,9,7,3,4,1,1,False
1,99,3,5,0,1,9,5,1,False
2,0,3,5,1,6,2,3,2,False
2,1,8,1,0,9,3,8,2,False
2,2,8,1,9,0,2,8,2,False
2,3,0,8,9,3,1,0,2,False
2,4,6,2,3,4,1,6,2,False
2,5,6,3,5,4,2,6,2,False
2,6,1,9,3,0,5,1,2,False
2,7,6,2,5,0,9,6,2,False
2,8,3,5,4,7,6,3,2,False
2,9,1,9,8,3,6,1,2,False
2,10,0,3,4,5,2,0,2,False
2,11,9,1,7,8,0,9,2,False
2,12,4,5,6,7,3,5,2,False
2,13,7,3,5,2,4,7,2,False
2,14,9,1,7,8,3,9,2,False
2,15,8,1,6,5,0,8,2,False
2,16,5,7,3,6,4,5,2,False
2,17,7,9,4,1,2,7,2,False
2,18,8,9,1,0,6,8,2,False
2,19,6,2,9,8,1,6,2,False
2,20,7,5,0,9,3,7,2,False
2,21,0,2,3,9,6,0,2,False
2,22,4,6,3,2,8,4,2,False
2,23,9,1,3,0,7,9,2,False
2,24,5,3,4,7,9,5,2,False
2,25,2,3,5,0,4,2,2,False
2,26,4,3,5,7,6,4,2,False
2,27,0,6,2,9,7,0,2,False
2,28,9,1,0,8,6,9,2,False
2,29,6,4,2,7,5,6,2,False
2,30,6,5,1,3,4,6,2,False
2,31,5,3,6,4,2,5,2,False
2,32,4,8,2,9,6,4,2,False
2,33,5,6,4,3,2,5,2,False
2,34,9,0,1,8,7,9,2,False
2,35,3,2,1,8,9,2,2,False
2,36,4,7,5,3,6,4,2,False
2,37,1,9,0,8,3,1,2,False
2,38,9,1,8,6,3,9,2,False
2,39,5,4,2,6,3,5,2,False
2,40,4,2,7,0,9,4,2,False
2,41,6,3,5,1,2,6,2,False
2,42,5,3,7,2,1,5,2,False
2,43,6,2,5,3,8,6,2,False
2,44,0,1,7,9,2,0,2,False
2,45,9,1,0,3,7,9,2,False
2,46,3,6,5,4,2,3,2,False
2,47,9,8,1,0,3,9,2,False
2,48,7,5,4,1,3,7,2,False
2,49,6,0,7,4,5,6,2,False
2,50,9,1,0,3,8,9,2,False
2,51,8,4,6,9,7,8,2,False
2,52,2,7,3,0,1,0,2,False
2,53,3,5,6,4,2,3,2,False
2,54,8,0,1,9,4,8,2,False
2,55,8,9,2,0,5,8,2,False
2,56,7,5,3,2,4,7,2,False
2,57,7,3,5,6,9,7,2,False
2,58,5,7,4,2,3,4,2,False
2,59,3,5,6,1,0,6,2,False
2,60,7,5,3,4,1,7,2,False
2,61,5,3,6,7,4,3,2,False
2,62,3,1,9,2,5,3,2,False
2,63,2,6,4,9,7,2,2,False
2,64,1,8,9,0,6,1,2,False
2,65,2,0,1,6,9,2,2,False
2,66,3,7,1,8,9,3,2,False
2,67,7,4,2,5,9,7,2,False
2,68,2,5,4,3,7,2,2,False
2,69,8,0,4,9,1,8,2,False
2,70,8,0,1,7,9,8,2,False
2,71,0,9,1,7,8,0,2,False
2,72,2,6,0,9,4,2,2,False
2,73,9,0,2,7,1,9,2,False
2,74,3,5,1,0,7,3,2,False
2,75,3,5,7,6,4,3,2,False
2,76,8,0,4,7,9,8,2,False
2,77,1,9,0,6,3,1,2,False
2,78,1,9,5,4,8,1,2,False
2,79,7,5,4,2,8,7,2,False
2,80,2,3,6,4,7,2,2,False
2,81,5,7,9,3,2,5,2,False
2,82,2,3,7,5,9,2,2,False
2,83,7,3,4,0,9,7,2,False
2,84,0,1,4,8,9,0,2,False
2,85,3,6,2,5,1,3,2,False
2,86,4,7,5,2,3,4,2,False
2,87,0,2,8,6,4,0,2,False
2,88,0,2,6,9,1,0,2,False
2,89,4,7,5,3,2,4,2,False
2,90,5,4,7,3,8,5,2,False
2,91,1,9,7,8,3,1,2,False
2,92,1,9,3,7,2,1,2,False
2,93,4,6,2,3,5,4,2,False
2,94,2,6,3,4,5,2,2,False
2,95,1,9,8,0,6,1,2,False
2,96,4,0,7,1,9,4,2,False
2,97,3,6,2,7,0,2,2,False
2,98,1,9,7,3,4,1,2,False
2,99,3,5,0,1,9,5,2,False
3,0,3,5,1,6,2,3,3,False
3,1,8,1,0,9,3,8,3,False
3,2,8,1,9,0,2,8,3,False
3,3,0,8,9,3,1,0,3,False
3,4,6,2,3,4,1,6,3,False
3,5,6,3,5,4,2,6,3,False
3,6,1,9,3,0,5,1,3,False
3,7,6,2,5,0,9,6,3,False
3,8,3,5,4,7,6,3,3,False
3,9,1,9,8,3,6,1,3,False
3,10,0,3,4,5,2,0,3,False
3,11,9,1,7,8,0,9,3,False
3,12,4,5,6,7,3,5,3,False
3,13,7,3,5,2,4,7,3,False
3,14,9,1,7,8,3,9,3,False
3,15,8,1,6,5,0,8,3,False
3,16,5,7,3,6,4,5,3,False
3,17,7,9,4,1,2,7,3,False
3,18,8,9,1,0,6,8,3,False
3,19,6,2,9,8,1,6,3,False
3,20,7,5,0,9,3,7,3,False
3,21,0,2,3,9,6,0,3,False
3,22,4,6,3,2,8,4,3,False
3,23,9,1,3,0,7,9,3,False
3,24,5,3,4,7,9,5,3,False
3,25,2,3,5,0,4,2,3,False
3,26,4,3,5,7,6,4,3,False
3,27,0,6,2,9,7,0,3,False
3,28,9,1,0,8,6,9,3,False
3,29,6,4,2,7,5,6,3,False
3,30,6,5,1,3,4,6,3,False
3,31,5,3,6,4,2,5,3,False
3,32,4,8,2,9,6,4,3,False
3,33,5,6,4,3,2,5,3,False
3,34,9,0,1,8,7,9,3,False
3,35,3,2,1,8,9,2,3,False
3,36,4,7,5,3,6,4,3,False
3,37,1,9,0,8,3,1,3,False
3,38,9,1,8,6,3,9,3,False
3,39,5,4,2,6,3,5,3,False
3,40,4,2,7,0,9,4,3,False
3,41,6,3,5,1,2,6,3,False
3,42,5,3,7,2,1,5,3,False
3,43,6,2,5,3,8,6,3,False
3,44,0,1,7,9,2,0,3,False
3,45,9,1,0,3,7,9,3,False
3,46,3,6,5,4,2,3,3,False
3,47,9,8,1,0,3,9,3,False
3,48,7,5,4,1,3,7,3,False
3,49,6,0,7,4,5,6,3,False
3,50,9,1,0,3,8,9,3,False
3,51,8,4,6,9,7,8,3,False
3,52,2,7,3,0,1,0,3,False
3,53,3,5,6,4,2,3,3,False
3,54,8,0,1,9,4,8,3,False
3,55,8,9,2,0,5,8,3,False
3,56,7,5,3,2,4,7,3,False
3,57,7,3,5,6,9,7,3,False
3,58,5,7,4,2,3,4,3,False
3,59,3,5,6,1,0,6,3,False
3,60,7,5,3,4,1,7,3,False
3,61,5,3,6,7,4,3,3,False
3,62,3,1,9,2,5,3,3,False
3,63,2,6,4,9,7,2,3,False
3,64,1,8,9,0,6,1,3,False
3,65,2,0,1,6,9,2,3,False
3,66,3,7,1,8,9,3,3,False
3,67,7,4,2,5,9,7,3,False
3,68,2,5,4,3,7,2,3,False
3,69,8,0,4,9,1,8,3,False
3,70,8,0,1,7,9,8,3,False
3,71,0,9,1,7,8,0,3,False
3,72,2,6,0,9,4,2,3,False
3,73,9,0,2,7,1,9,3,False
3,74,3,5,1,0,7,3,3,False
3,75,3,5,7,6,4,3,3,False
3,76,8,0,4,7,9,8,3,False
3,77,1,9,0,6,3,1,3,False
3,78,1,9,5,4,8,1,3,False
3,79,7,5,4,2,8,7,3,False
3,80,2,3,6,4,7,2,3,False
3,81,5,7,9,3,2,5,3,False
3,82,2,3,7,5,9,2,3,False
3,83,7,3,4,0,9,7,3,False
3,84,0,1,4,8,9,0,3,False
3,85,3,6,2,5,1,3,3,False
3,86,4,7,5,2,3,4,3,False
3,87,0,2,8,6,4,0,3,False
3,88,0,2,6,9,1,0,3,False
3,89,4,7,5,3,2,4,3,False
3,90,5,4,7,3,8,5,3,False
3,91,1,9,7,8,3,1,3,False
3,92,1,9,3,7,2,1,3,False
3,93,4,6,2,3,5,4,3,False
3,94,2,6,3,4,5,2,3,False
3,95,1,9,8,0,6,1,3,False
3,96,4,0,7,1,9,4,3,False
3,97,3,6,2,7,0,2,3,False
3,98,1,9,7,3,4,1,3,False
3,99,3,5,0,1,9,5,3,False
4,0,3,5,1,6,2,3,4,False
4,1,8,1,0,9,3,8,4,False
4,2,8,1,9,0,2,8,4,False
4,3,0,8,9,3,1,0,4,False
4,4,6,2,3,4,1,6,4,False
4,5,6,3,5,4,2,6,4,False
4,6,1,9,3,0,5,1,4,False
4,7,6,2,5,0,9,6,4,False
4,8,3,5,4,7,6,3,4,False
4,9,1,9,8,3,6,1,4,False
4,10,0,3,4,5,2,0,4,False
4,11,9,1,7,8,0,9,4,False
4,12,4,5,6,7,3,5,4,False
4,13,7,3,5,2,4,7,4,False
4,14,9,1,7,8,3,9,4,False
4,15,8,1,6,5,0,8,4,False
4,16,5,7,3,6,4,5,4,False
4,17,7,9,4,1,2,7,4,False
4,18,8,9,1,0,6,8,4,False
4,19,6,2,9,8,1,6,4,False
4,20,7,5,0,9,3,7,4,False
4,21,0,2,3,9,6,0,4,False
4,22,4,6,3,2,8,4,4,False
4,23,9,1,3,0,7,9,4,False
4,24,5,3,4,7,9,5,4,False
4,25,2,3,5,0,4,2,4,False
4,26,4,3,5,7,6,4,4,False
4,27,0,6,2,9,7,0,4,False
4,28,9,1,0,8,6,9,4,False
4,29,6,4,2,7,5,6,4,False
4,30,6,5,1,3,4,6,4,False
4,31,5,3,6,4,2,5,4,False
4,32,4,8,2,9,6,4,4,False
4,33,5,6,4,3,2,5,4,False
4,34,9,0,1,8,7,9,4,False
4,35,3,2,1,8,9,2,4,False
4,36,4,7,5,3,6,4,4,False
4,37,1,9,0,8,3,1,4,False
4,38,9,1,8,6,3,9,4,False
4,39,5,4,2,6,3,5,4,False
4,40,4,2,7,0,9,4,4,False
4,41,6,3,5,1,2,6,4,False
4,42,5,3,7,2,1,5,4,False
4,43,6,2,5,3,8,6,4,False
4,44,0,1,7,9,2,0,4,False
4,45,9,1,0,3,7,9,4,False
4,46,3,6,5,4,2,3,4,False
4,47,9,8,1,0,3,9,4,False
4,48,7,5,4,1,3,7,4,False
4,49,6,0,7,4,5,6,4,False
4,50,9,1,0,3,8,9,4,False
4,51,8,4,6,9,7,8,4,False
4,52,2,7,3,0,1,0,4,False
4,53,3,5,6,4,2,3,4,False
4,54,8,0,1,9,4,8,4,False
4,55,8,9,2,0,5,8,4,False
4,56,7,5,3,2,4,7,4,False
4,57,7,3,5,6,9,7,4,False
4,58,5,7,4,2,3,4,4,False
4,59,3,5,6,1,0,6,4,False
4,60,7,5,3,4,1,7,4,False
4,61,5,3,6,7,4,3,4,False
4,62,3,1,9,2,5,3,4,False
4,63,2,6,4,9,7,2,4,False
4,64,1,8,9,0,6,1,4,False
4,65,2,0,1,6,9,2,4,False
4,66,3,7,1,8,9,3,4,False
4,67,7,4,2,5,9,7,4,False
4,68,2,5,4,3,7,2,4,False
4,69,8,0,4,9,1,8,4,False
4,70,8,0,1,7,9,8,4,False
4,71,0,9,1,7,8,0,4,False
4,72,2,6,0,9,4,2,4,False
4,73,9,0,2,7,1,9,4,False
4,74,3,5,1,0,7,3,4,False
4,75,3,5,7,6,4,3,4,False
4,76,8,0,4,7,9,8,4,False
4,77,1,9,0,6,3,1,4,False
4,78,1,9,5,4,8,1,4,False
4,79,7,5,4,2,8,7,4,False
4,80,2,3,6,4,7,2,4,False
4,81,5,7,9,3,2,5,4,False
4,82,2,3,7,5,9,2,4,False
4,83,7,3,4,0,9,7,4,False
4,84,0,1,4,8,9,0,4,False
4,85,3,6,2,5,1,3,4,False
4,86,4,7,5,2,3,4,4,False
4,87,0,2,8,6,4,0,4,False
4,88,0,2,6,9,1,0,4,False
4,89,4,7,5,3,2,4,4,False
4,90,5,4,7,3,8,5,4,False
4,91,1,9,7,8,3,1,4,False
4,92,1,9,3,7,2,1,4,False
4,93,4,6,2,3,5,4,4,False
4,94,2,6,3,4,5,2,4,False
4,95,1,9,8,0,6,1,4,False
4,96,4,0,7,1,9,4,4,False
4,97,3,6,2,7,0,2,4,False
4,98,1,9,7,3,4,1,4,False
4,99,3,5,0,1,9,5,4,False
5,0,3,5,1,6,2,3,5,False
5,1,8,1,0,9,3,8,5,False
5,2,8,1,9,0,2,8,5,False
5,3,0,8,9,3,1,0,5,False
5,4,6,2,3,4,1,6,5,False
5,5,6,3,5,4,2,6,5,False
5,6,1,9,3,0,5,1,5,False
5,7,6,2,5,0,9,6,5,False
5,8,3,5,4,7,6,3,5,False
5,9,1,9,8,3,6,1,5,False
5,10,0,3,4,5,2,0,5,False
5,11,9,1,7,8,0,9,5,False
5,12,4,5,6,7,3,5,5,False
5,13,7,3,5,2,4,7,5,False
5,14,9,1,7,8,3,9,5,False
5,15,8,1,6,5,0,8,5,False
5,16,5,7,3,6,4,5,5,False
5,17,7,9,4,1,2,7,5,False
5,18,8,9,1,0,6,8,5,False
5,19,6,2,9,8,1,6,5,False
5,20,7,5,0,9,3,7,5,False
5,21,0,2,3,9,6,0,5,False
5,22,4,6,3,2,8,4,5,False
5,23,9,1,3,0,7,9,5,False
5,24,5,3,4,7,9,5,5,False
5,25,2,3,5,0,4,2,5,False
5,26,4,3,5,7,6,4,5,False
5,27,0,6,2,9,7,0,5,False
5,28,9,1,0,8,6,9,5,False
5,29,6,4,2,7,5,6,5,False
5,30,6,5,1,3,4,6,5,False
5,31,5,3,6,4,2,5,5,False
5,32,4,8,2,9,6,4,5,False
5,33,5,6,4,3,2,5,5,False
5,34,9,0,1,8,7,9,5,False
5,35,3,2,1,8,9,2,5,False
5,36,4,7,5,3,6,4,5,False
5,37,1,9,0,8,3,1,5,False
5,38,9,1,8,6,3,9,5,False
5,39,5,4,2,6,3,5,5,False
5,40,4,2,7,0,9,4,5,False
5,41,6,3,5,1,2,6,5,False
5,42,5,3,7,2,1,5,5,False
5,43,6,2,5,3,8,6,5,False
5,44,0,1,7,9,2,0,5,False
5,45,9,1,0,3,7,9,5,False
5,46,3,6,5,4,2,3,5,False
5,47,9,8,1,0,3,9,5,False
5,48,7,5,4,1,3,7,5,False
5,49,6,0,7,4,5,6,5,False
5,50,9,1,0,3,8,9,5,False
5,51,8,4,6,9,7,8,5,False
5,52,2,7,3,0,1,0,5,False
5,53,3,5,6,4,2,3,5,False
5,54,8,0,1,9,4,8,5,False
5,55,8,9,2,0,5,8,5,False
5,56,7,5,3,2,4,7,5,False
5,57,7,3,5,6,9,7,5,False
5,58,5,7,4,2,3,4,5,False
5,59,3,5,6,1,0,6,5,False
5,60,7,5,3,4,1,7,5,False
5,61,5,3,6,7,4,3,5,False
5,62,3,1,9,2,5,3,5,False
5,63,2,6,4,9,7,2,5,False
5,64,1,8,9,0,6,1,5,False
5,65,2,0,1,6,9,2,5,False
5,66,3,7,1,8,9,3,5,False
5,67,7,4,2,5,9,7,5,False
5,68,2,5,4,3,7,2,5,False
5,69,8,0,4,9,1,8,5,False
5,70,8,0,1,7,9,8,5,False
5,71,0,9,1,7,8,0,5,False
5,72,2,6,0,9,4,2,5,False
5,73,9,0,2,7,1,9,5,False
5,74,3,5,1,0,7,3,5,False
5,75,3,5,7,6,4,3,5,False
5,76,8,0,4,7,9,8,5,False
5,77,1,9,0,6,3,1,5,False
5,78,1,9,5,4,8,1,5,False
5,79,7,5,4,2,8,7,5,False
5,80,2,3,6,4,7,2,5,False
5,81,5,7,9,3,2,5,5,False
5,82,2,3,7,5,9,2,5,False
5,83,7,3,4,0,9,7,5,False
5,84,0,1,4,8,9,0,5,False
5,85,3,6,2,5,1,3,5,False
5,86,4,7,5,2,3,4,5,False
5,87,0,2,8,6,4,0,5,False
5,88,0,2,6,9,1,0,5,False
5,89,4,7,5,3,2,4,5,False
5,90,5,4,7,3,8,5,5,False
5,91,1,9,7,8,3,1,5,False
5,92,1,9,3,7,2,1,5,False
5,93,4,6,2,3,5,4,5,False
5,94,2,6,3,4,5,2,5,False
5,95,1,9,8,0,6,1,5,False
5,96,4,0,7,1,9,4,5,False
5,97,3,6,2,7,0,2,5,False
5,98,1,9,7,3,4,1,5,False
5,99,3,5,0,1,9,5,5,False
6,0,3,5,1,6,2,3,6,False
6,1,8,1,0,9,3,8,6,False
6,2,8,1,9,0,2,8,6,False
6,3,0,8,9,3,1,0,6,False
6,4,6,2,3,4,1,6,6,False
6,5,6,3,5,4,2,6,6,False
6,6,1,9,3,0,5,1,6,False
6,7,6,2,5,0,9,6,6,False
6,8,3,5,4,7,6,3,6,False
6,9,1,9,8,3,6,1,6,False
6,10,0,3,4,5,2,0,6,False
6,11,9,1,7,8,0,9,6,False
6,12,4,5,6,7,3,5,6,False
6,13,7,3,5,2,4,7,6,False
6,14,9,1,7,8,3,9,6,False
6,15,8,1,6,5,0,8,6,False
6,16,5,7,3,6,4,5,6,False
6,17,7,9,4,1,2,7,6,False
6,18,8,9,1,0,6,8,6,False
6,19,6,2,9,8,1,6,6,False
6,20,7,5,0,9,3,7,6,False
6,21,0,2,3,9,6,0,6,False
6,22,4,6,3,2,8,4,6,False
6,23,9,1,3,0,7,9,6,False
6,24,5,3,4,7,9,5,6,False
6,25,2,3,5,0,4,2,6,False
6,26,4,3,5,7,6,4,6,False
6,27,0,6,2,9,7,0,6,False
6,28,9,1,0,8,6,9,6,False
6,29,6,4,2,7,5,6,6,False
6,30,6,5,1,3,4,6,6,False
6,31,5,3,6,4,2,5,6,False
6,32,4,8,2,9,6,4,6,False
6,33,5,6,4,3,2,5,6,False
6,34,9,0,1,8,7,9,6,False
6,35,3,2,1,8,9,2,6,False
6,36,4,7,5,3,6,4,6,False
6,37,1,9,0,8,3,1,6,False
6,38,9,1,8,6,3,9,6,False
6,39,5,4,2,6,3,5,6,False
6,40,4,2,7,0,9,4,6,False
6,41,6,3,5,1,2,6,6,False
6,42,5,3,7,2,1,5,6,False
6,43,6,2,5,3,8,6,6,False
6,44,0,1,7,9,2,0,6,False
6,45,9,1,0,3,7,9,6,False
6,46,3,6,5,4,2,3,6,False
6,47,9,8,1,0,3,9,6,False
6,48,7,5,4,1,3,7,6,False
6,49,6,0,7,4,5,6,6,False
6,50,9,1,0,3,8,9,6,False
6,51,8,4,6,9,7,8,6,False
6,52,2,7,3,0,1,0,6,False
6,53,3,5,6,4,2,3,6,False
6,54,8,0,1,9,4,8,6,False
6,55,8,9,2,0,5,8,6,False
6,56,7,5,3,2,4,7,6,False
6,57,7,3,5,6,9,7,6,False
6,58,5,7,4,2,3,4,6,False
6,59,3,5,6,1,0,6,6,False
6,60,7,5,3,4,1,7,6,False
6,61,5,3,6,7,4,3,6,False
6,62,3,1,9,2,5,3,6,False
6,63,2,6,4,9,7,2,6,False
6,64,1,8,9,0,6,1,6,False
6,65,2,0,1,6,9,2,6,False
6,66,3,7,1,8,9,3,6,False
6,67,7,4,2,5,9,7,6,False
6,68,2,5,4,3,7,2,6,False
6,69,8,0,4,9,1,8,6,False
6,70,8,0,1,7,9,8,6,False
6,71,0,9,1,7,8,0,6,False
6,72,2,6,0,9,4,2,6,False
6,73,9,0,2,7,1,9,6,False
6,74,3,5,1,0,7,3,6,False
6,75,3,5,7,6,4,3,6,False
6,76,8,0,4,7,9,8,6,False
6,77,1,9,0,6,3,1,6,False
6,78,1,9,5,4,8,1,6,False
6,79,7,5,4,2,8,7,6,False
6,80,2,3,6,4,7,2,6,False
6,81,5,7,9,3,2,5,6,False
6,82,2,3,7,5,9,2,6,False
6,83,7,3,4,0,9,7,6,False
6,84,0,1,4,8,9,0,6,False
6,85,3,6,2,5,1,3,6,False
6,86,4,7,5,2,3,4,6,False
6,87,0,2,8,6,4,0,6,False
6,88,0,2,6,9,1,0,6,False
6,89,4,7,5,3,2,4,6,False
6,90,5,4,7,3,8,5,6,False
6,91,1,9,7,8,3,1,6,False
6,92,1,9,3,7,2,1,6,False
6,93,4,6,2,3,5,4,6,False
6,94,2,6,3,4,5,2,6,False
